CO_CNES;CO_UNIDADE;CO_UF;CO_IBGE;NU_CNPJ_MANTENEDORA;NO_RAZAO_SOCIAL;NO_FANTASIA;CO_NATUREZA_ORGANIZACAO;DS_NATUREZA_ORGANIZACAO;TP_GESTAO;CO_NIVEL_HIERARQUIA;DS_NIVEL_HIERARQUIA;CO_ESFERA_ADMINISTRATIVA;DS_ESFERA_ADMINISTRATIVA;CO_ATIVIDADE;TP_UNIDADE;CO_CEP;NO_LOGRADOURO;NU_ENDERECO;NO_BAIRRO;NU_TELEFONE;NU_LATITUDE;NU_LONGITUDE;CO_TURNO_ATENDIMENTO;DS_TURNO_ATENDIMENTO;NU_CNPJ;NO_EMAIL;CO_NATUREZA_JUR;ST_CENTRO_CIRURGICO;ST_CENTRO_OBSTETRICO;ST_CENTRO_NEONATAL;ST_ATEND_HOSPITALAR;ST_SERVICO_APOIO;ST_ATEND_AMBULATORIAL;CO_MOTIVO_DESAB;CO_AMBULATORIAL_SUS
52191;2208000052191;22;220800;;C A RIBEIRO LTDA;U S DIAGNOSTICO;;;M;;;M ;MUNICIPAL;4;36;64600146;NOSSA SENHORA DE FATIMA;514;CANTO DA VARZEA;89 81042525;-7.0841985817;-41.4714467525;3.0;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;34549326000275.0;;2062.0;0.0;0.0;0.0;0.0;0.0;0.0;;NAO
205;4127700000205;41;412770;;K FORTES CLINICA MEDICA LTDA;K FORTES CLINICA MEDICA;;;M;;;M ;MUNICIPAL;4;22;85900180;RUA NOSSA SENHORA DO ROCIO;1817;CENTRO;11-96081-0923;-24.7289505662;-53.741093874;3.0;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;34864583000110.0;;2062.0;0.0;0.0;0.0;0.0;1.0;0.0;;NAO
3871630;3303503871630;33;330350;;MARCIA DANTAS DA SILVA LIMA;MARCIA DANTAS DA SILVA LIMA;;;M;;;M ;MUNICIPAL;4;22;26220300;RUA GOVERNADOR PORTELA;1200;CENTRO;21-2767-0039;-22.7600486376;-43.4465872473;1.0;ATENDIMENTO SOMENTE PELA MANHA;;mdantaslima@uol.com.br;4000.0;0.0;0.0;0.0;0.0;1.0;0.0;;NAO
9581219;3554109581219;35;355410;;M A MONTANHA RUGGERI LABORATORIO;PERSONAL LAB;;;M;;;M ;MUNICIPAL;4;39;12030440;RUA GRECIA;180;JARDIM DAS NACOES;12 3624-1570;-23.0290903381;-45.5725829868;3.0;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;17271469000249.0;sac@labpersonal.com.br;2135.0;0.0;0.0;0.0;0.0;1.0;0.0;;NAO
4280652;2610904280652;26;261090;;CENTRO DE APOIO EM EDUCACAO E SAUDE CAES;CLINICA HOSPITALAR VITHALIS;;;M;;;M ;MUNICIPAL;4;36;55200000;SITIO CLIMERIO;470;MIMOSO;;-8.399639;-36.879459;4.0;ATENDIMENTO NOS TURNOS DA MANHA, TARDE E NOITE;33790982000464.0;;3999.0;0.0;0.0;0.0;0.0;1.0;0.0;;NAO
167;2602900000167;26;260290;11294402000162.0;PREFEITURA MUNICIPAL DO CABO DE SANTO AGOSTINHO;USF MERCES;;;M;;;M ;MUNICIPAL;4;2;54505560;RUA DO FERREIRO;S/N;MERCES;(81)35162900;-8.3169930558;-35.0874314479;3.0;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;;;1244.0;0.0;0.0;0.0;0.0;1.0;0.0;;SIM
116;2602900000116;26;260290;11294402000162.0;PREFEITURA MUNICIPAL DO CABO DE SANTO AGOSTINHO;USF CHARNECA II;;;M;;;M ;MUNICIPAL;4;2;54535020;RUA 02;07;CHARNECA;(81)35249253;-8.292734;-35.0334223;3.0;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;;;1244.0;0.0;0.0;0.0;0.0;1.0;0.0;;SIM
78;2602900000078;26;260290;11294402000162.0;PREFEITURA MUNICIPAL DO CABO DE SANTO AGOSTINHO;CENTRO HERBERT DE SOUZA;;;M;;;M ;MUNICIPAL;4;36;54510360;AV HISTORIADOR PEREIRA DA COSTA;428;CENTRO;(81)35210974;-8.2874835895;-35.037505222;3.0;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;;;1244.0;0.0;0.0;0.0;0.0;0.0;0.0;;SIM
5869684;3550305869684;35;355030;;CLINICA CIRURGICA DR MAURO SAKIYAMA SS;CLINICA CIRURGICA DR MAURO SAKIYAMA;;;M;;;M ;MUNICIPAL;4;22;3081003;RUA TUIUTI;2530;TATUAPE;11 99469-0893;-23.547688;-46.574202;5.0;ATENDIMENTO COM TURNOS INTERMITENTES;3728908000104.0;clinica.sakiyama@gmail.com;2232.0;0.0;0.0;0.0;0.0;1.0;0.0;;NAO
7688970;1200457688970;12;120045;4077251000125.0;MUNICIPIO DE SENADOR GUIOMARD;POSTO ODONTOLOGICO MARGARIDA NOGUEIRA BANDEIRA FREIRE;;;M;;;M ;MUNICIPAL;4;22;69925000;TRIUNFO;S/N;TRIUNFO;6832322652;;;3.0;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;;saude.secretaria@bol.com.br;1244.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;NAO
