CO_CNES;CO_UNIDADE;CO_UF;CO_IBGE;NU_CNPJ_MANTENEDORA;NO_RAZAO_SOCIAL;NO_FANTASIA;CO_NATUREZA_ORGANIZACAO;DS_NATUREZA_ORGANIZACAO;TP_GESTAO;CO_NIVEL_HIERARQUIA;DS_NIVEL_HIERARQUIA;CO_ESFERA_ADMINISTRATIVA;DS_ESFERA_ADMINISTRATIVA;CO_ATIVIDADE;TP_UNIDADE;CO_CEP;NO_LOGRADOURO;NU_ENDERECO;NO_BAIRRO;NU_TELEFONE;NU_LATITUDE;NU_LONGITUDE;CO_TURNO_ATENDIMENTO;DS_TURNO_ATENDIMENTO;NU_CNPJ;NO_EMAIL;CO_NATUREZA_JUR;ST_CENTRO_CIRURGICO;ST_CENTRO_OBSTETRICO;ST_CENTRO_NEONATAL;ST_ATEND_HOSPITALAR;ST_SERVICO_APOIO;ST_ATEND_AMBULATORIAL;CO_MOTIVO_DESAB;CO_AMBULATORIAL_SUS
582;2611600000582;26;261160;;SOCIEDADE PERNAMBUCANA DO COMBATE AO CANCER;HOSPITAL DE CANCER DE PERNAMBUCO;;;E;;;E ;ESTADUAL;3;7;50040000;AVENIDA CRUZ CABUGA;1597;SANTO AMARO;(81)32178000;-8.041297818;-34.8733735085;6.0;ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS);10894988000133.0;hcp@hosp.org.br;3999.0;1.0;0.0;0.0;1.0;1.0;1.0;;SIM
9834745;2311809834745;23;231180;7535446000160.0;MUNICIPIO DE RUSSAS;CENTRO ESPECIALIZADO EM REABILITACAO CER II;;;M;;;M ;MUNICIPAL;4;36;62905455;RUA MONSENHOR VITAL GURGEL GUEDES;S/N;CENTRO;88 34118419;-4.932781;-37.96543;3.0;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;;smsrussas@ig.com.br;1244.0;0.0;0.0;0.0;0.0;0.0;0.0;;SIM
7688970;1200457688970;12;120045;4077251000125.0;MUNICIPIO DE SENADOR GUIOMARD;POSTO ODONTOLOGICO MARGARIDA NOGUEIRA BANDEIRA FREIRE;;;M;;;M ;MUNICIPAL;4;22;69925000;TRIUNFO;S/N;TRIUNFO;6832322652;;;3.0;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;;saude.secretaria@bol.com.br;1244.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;NAO
175;2602900000175;26;260290;11294402000162.0;PREFEITURA MUNICIPAL DO CABO DE SANTO AGOSTINHO;USF SUAPE;;;M;;;M ;MUNICIPAL;4;2;54505970;RUA JOSE MIGUEL DE SANTANA;14;SUAPE;(81)35127000;-8.3542305852;-34.9551067778;3.0;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;;;1244.0;0.0;0.0;0.0;0.0;1.0;0.0;;SIM
1643;2611600001643;26;261160;;ULTRA DIAGNOSTICOS LTDA;ULTRA DIAGNOSTICOS;;;M;;;M ;MUNICIPAL;4;39;50050480;RUA ALMEIDA CUNHA;345;SANTO AMARO;(81) 30320609;-8.05362505;-34.8880706969;3.0;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;8731556000160.0;ultradiagnosticope@hotmail.com;2062.0;0.0;0.0;0.0;0.0;1.0;0.0;;NAO
5851262;2107255851262;21;210725;1608768000105.0;PREFEITURA MUNICIPAL DE NOVA COLINAS;LABORATORIO DE ANALISES CLINICAS ZE DO ICA;;;M;;;M ;MUNICIPAL;4;39;65808000;RUA EDSON LOBAO;S/N;CENTRO;;-7.1159679305;-46.2569689751;3.0;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;;;1244.0;;;;;0.0;0.0;;SIM
1724;2611600001724;26;261160;;SERVICOS DE ASSISTENCIA MEDICA INFANTIL DE URGENCIA;SAMIU;;;M;;;M ;MUNICIPAL;4;21;50050540;AV VISCONDE DE SUASSUNA;658;SANTO AMARO;(81)32215241;;;6.0;ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS);10866200000185.0;;2000.0;0.0;0.0;0.0;0.0;1.0;1.0;4.0;NAO
2453;2800300002453;28;280030;13128780000878.0;SECRETARIA MUNICIPAL DE SAUDE DE ARACAJU;US ANTONIO ALVES ATALAIA;;;M;;;M ;MUNICIPAL;4;2;49037220;RUA FIRMINO FONTES;S/N;ATALAIA;(79)3179-2700;-10.9808805;-37.0535561;3.0;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;;saude@aracaju.se.gov.br;1244.0;0.0;0.0;0.0;0.0;1.0;0.0;;SIM
1201;2931350001201;29;293135;13650403000128.0;MUNICIPIO DE TEIXEIRAD E FREITAS;PSF RESIDENCIAL CASTELINHO;;;M;;;M ;MUNICIPAL;4;2;45999000;RUA;;RESIDENCIAL CASTELIN;;-17.5532395885;-39.7175717354;3.0;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;;;1244.0;0.0;0.0;0.0;0.0;0.0;0.0;;SIM
9916547;4310209916547;43;431020;;CENTRO INTEGRADO DE DESENVOLVIMENTO HUMANO FAREINSIEME LTDA;CENTRO INTEGRADO VIVERE;;;M;;;M ;MUNICIPAL;4;22;98700000;QUINZE DE NOVEMBRO;636;CENTRO;55 992375985;-27.9242842;-54.6059239;3.0;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;32610225000156.0;CLINICAFAREINSIEMEIJUI@GMAIL.COM;2062.0;0.0;0.0;0.0;0.0;0.0;0.0;;NAO
