CO_CNES;CO_UNIDADE;CO_UF;CO_IBGE;NU_CNPJ_MANTENEDORA;NO_RAZAO_SOCIAL;NO_FANTASIA;CO_NATUREZA_ORGANIZACAO;DS_NATUREZA_ORGANIZACAO;TP_GESTAO;CO_NIVEL_HIERARQUIA;DS_NIVEL_HIERARQUIA;CO_ESFERA_ADMINISTRATIVA;DS_ESFERA_ADMINISTRATIVA;CO_ATIVIDADE;TP_UNIDADE;CO_CEP;NO_LOGRADOURO;NU_ENDERECO;NO_BAIRRO;NU_TELEFONE;NU_LATITUDE;NU_LONGITUDE;CO_TURNO_ATENDIMENTO;DS_TURNO_ATENDIMENTO;NU_CNPJ;NO_EMAIL;CO_NATUREZA_JUR;ST_CENTRO_CIRURGICO;ST_CENTRO_OBSTETRICO;ST_CENTRO_NEONATAL;ST_ATEND_HOSPITALAR;ST_SERVICO_APOIO;ST_ATEND_AMBULATORIAL;CO_MOTIVO_DESAB;CO_AMBULATORIAL_SUS
10359;5002700010359;50;500270;3501509000106.0;MUNICIPIO DE CAMPO GRANDE;SESAU CENTRO DE ATENCAO PSICOSSOCIAL III MARGARIDA;;;M;;;M ;MUNICIPAL;4;70;79022127;RUA ITAMBE;2939;MONTE CARLO;67-2020-1894/1895;-20.44346;-54.592165;6.0;ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS);;capsiivm@hotmail.com;1244.0;0.0;0.0;0.0;0.0;1.0;1.0;;SIM
15695;4106900015695;41;410690;75095679000149.0;UNIVERSIDADE FEDERAL DO PARANA;CENTRO DA VISAO HC UFPR;;;M;;;M ;MUNICIPAL;1;22;80250080;RUA PASTEUR;26;BATEL;(41) 2327003;;;3.0;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;75095679000653.0;mrmraski@ufpr.br;1104.0;0.0;0.0;0.0;0.0;1.0;0.0;8.0;SIM
1724;2611600001724;26;261160;;SERVICOS DE ASSISTENCIA MEDICA INFANTIL DE URGENCIA;SAMIU;;;M;;;M ;MUNICIPAL;4;21;50050540;AV VISCONDE DE SUASSUNA;658;SANTO AMARO;(81)32215241;;;6.0;ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS);10866200000185.0;;2000.0;0.0;0.0;0.0;0.0;1.0;1.0;4.0;NAO
10340;5002700010340;50;500270;3501509000106.0;MUNICIPIO DE CAMPO GRANDE;SESAU USF ALVES PEREIRA DR WALFRIDO AZAMBUJA;;;M;;;M ;MUNICIPAL;4;2;79063090;RUA FILOMENA SEGUNDO NASCIMENTO;812;JARDIM MONUMENTO;(67) 2020-1981;-20.527418;-54.602491;3.0;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;;cspereira@sesau.campogrande.ms.gov.br;1244.0;0.0;0.0;0.0;0.0;1.0;0.0;;SIM
7966784;4128107966784;41;412810;;GUILHERME VALIAS SCHIMITT;ANGIOCOR;;;M;;;M ;MUNICIPAL;4;22;87501000;PRACA OSCAR THOMPSON FILHO;3415;ZONA 1 A;36221967;-23.7632779691;-53.319080472;3.0;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;;gvascular@icloud.com;4000.0;0.0;0.0;0.0;0.0;0.0;0.0;;NAO
7193068;3549407193068;35;354940;;CLINICA DE SAUDE TRISTAO MINGONI LTDA;CLINICA DE SAUDE TRISTAO MINGONI LTDA;;;M;;;M ;MUNICIPAL;4;22;14600000;RUA GOIAS;1207;CENTRO;(16) 3728.3333;-20.5779602;-47.8671172;3.0;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;17591326000133.0;;2135.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;NAO
16659;4106900016659;41;410690;76417005000186.0;MUNICIPIO DE CURITIBA;UMS ESTRELA;;;M;;;M ;MUNICIPAL;4;2;81320100;RUA FRANCISCO NOWOTARSKI;78;FAZENDINHA;33145129;-25.47772597;-49.31792468;4.0;ATENDIMENTO NOS TURNOS DA MANHA, TARDE E NOITE;;;1244.0;0.0;0.0;0.0;0.0;1.0;0.0;;SIM
7129;5300100007129;53;530010;;CUIDAR PROCEDIMENTOS DE ENFERMAGEM LTDA ME;CUIDAR PROCEDIMENTOS;;;E;;;E ;ESTADUAL;4;77;72010010;C1;S/N;TAGUATINGA CENTRO;61 30538077;-15.8318211116;-48.0523324013;3.0;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;22751540000140.0;cuidarprocedimentosenfermagem@gmail.com;2062.0;;;;;1.0;0.0;6.0;NAO
6655130;3304556655130;33;330455;;LIFE IMAGEM DIAG POR IMAGEM CLIN MED E PARTICIPACOES S A;LIFE IMAGEM UNIDADE BARRA DA TIJUCA;;;M;;;M ;MUNICIPAL;4;39;22631003;AVENIDA DAS AMERICAS;3665;BARRA DA TIJUCA;2122126200;-23.0003974;-43.3497264;3.0;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;40297269001178.0;lifeimagem@lifeimagem.com.br;2054.0;0.0;0.0;0.0;0.0;0.0;0.0;8.0;NAO
12459;4102400012459;41;410240;;THIAGO M FREITAS SERVICOS MEDICOS LTDA;THIAGO M FREITAS SERVICOS MEDICOS LTDA;;;M;;;M ;MUNICIPAL;4;22;86360000;AVENIDA PREFEITO MOACYR CASTANHO;1498;CENTRO;;-23.1068224633;-50.3710055351;5.0;ATENDIMENTO COM TURNOS INTERMITENTES;35776925000103.0;;2240.0;0.0;0.0;0.0;0.0;0.0;0.0;;NAO
