CO_CNES;CO_UNIDADE;CO_UF;CO_IBGE;NU_CNPJ_MANTENEDORA;NO_RAZAO_SOCIAL;NO_FANTASIA;CO_NATUREZA_ORGANIZACAO;DS_NATUREZA_ORGANIZACAO;TP_GESTAO;CO_NIVEL_HIERARQUIA;DS_NIVEL_HIERARQUIA;CO_ESFERA_ADMINISTRATIVA;DS_ESFERA_ADMINISTRATIVA;CO_ATIVIDADE;TP_UNIDADE;CO_CEP;NO_LOGRADOURO;NU_ENDERECO;NO_BAIRRO;NU_TELEFONE;NU_LATITUDE;NU_LONGITUDE;CO_TURNO_ATENDIMENTO;DS_TURNO_ATENDIMENTO;NU_CNPJ;NO_EMAIL;CO_NATUREZA_JUR;ST_CENTRO_CIRURGICO;ST_CENTRO_OBSTETRICO;ST_CENTRO_NEONATAL;ST_ATEND_HOSPITALAR;ST_SERVICO_APOIO;ST_ATEND_AMBULATORIAL;CO_MOTIVO_DESAB;CO_AMBULATORIAL_SUS
89427;3304550089427;33;330455;;UROMAX CLINICA UROLOGICA DE CIRURGIA LTDA;UROMAX;;;M;;;M ;MUNICIPAL;4;36;20735090;RUA COSTANCA BARBOSA;188;MEIER;;-22.875;-43.225;3.0;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;9234687000102.0;;2240.0;0.0;0.0;0.0;0.0;1.0;0.0;8.0;NAO
43;2602900000043;26;260290;11294402000162.0;PREFEITURA MUNICIPAL DO CABO DE SANTO AGOSTINHO;POLICLINICA DR MANUEL GOMES;;;M;;;M ;MUNICIPAL;4;4;54510360;AV HISTORIADOR PEREIRA COSTA;S/N;CENTRO;(81)35216723;-8.28765;-35.035;3.0;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;;;1244.0;0.0;0.0;0.0;0.0;1.0;0.0;;SIM
604;2611600000604;26;261160;10565000000192.0;MUNICIPIO DO RECIFE;US 169 POLICLINICA AMAURY COUTINHO;;;M;;;M ;MUNICIPAL;4;4;52121030;RUA IGUATU;S/N;CAMPINA DO BARRETO;3355-7878/7879/7889;-8.0163644;-34.8825373;6.0;ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS);;amaurycoutinhodir@gmail.com;1244.0;0.0;0.0;0.0;0.0;1.0;0.0;;SIM
5009405;4314905009405;43;431490;;RICARDO CABRERA MENEZES;RICARDO CABRERA MENEZES;;;M;;;M ;MUNICIPAL;4;22;90480003;AV CARLOS GOMES;281;AUXILIADORA;33341200;-30.020354456;-51.1913108826;3.0;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;;ricardocmenezes@hotmail.com;4000.0;0.0;0.0;0.0;0.0;0.0;0.0;;NAO
2462583;2101602462583;21;210160;6769798000117.0;MUNICIPIO DE BARRA DO CORDA;HOSPITAL MATERNO INFANTIL;;;M;;;M ;MUNICIPAL;4;7;65950000;CANADA QUADRA P SETOR IIA;S/N;VILA CANADA;;-5.5103240295;-45.2526962757;6.0;ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS);;;1244.0;1.0;1.0;1.0;1.0;1.0;1.0;;SIM
1635;2611600001635;26;261160;;LABORATORIO DE ANALISES CLINICAS JOSE ANACLETO FERREIRA;LABORATORIO DR ANACLETO FERREIRA;;;M;;;M ;MUNICIPAL;4;39;50050080;RUA DO SOSSEGO;199;BOA VISTA;81) 3222-2769;;;3.0;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;9829698000127.0;elzasmf2@hotmail.com;2240.0;;;;;1.0;0.0;8.0;SIM
942367;3534700942367;35;353470;;STELLA MARI CLINICA DE PSICOLOGIA LTDA;STELLA MARI CLINICA DE PSICOLOGIA;;;M;;;M ;MUNICIPAL;4;22;19900260;RUA JOSE GALVAO;390;VILA MORAES;14;-22.985885;-49.861345;3.0;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;42352817000179.0;smsscabral@gmail.com;2062.0;0.0;0.0;0.0;0.0;1.0;0.0;;NAO
2962195;1100202962195;11;110020;;G J COMERCIO DE MEDICAMENTOS LTDA;FARMACIA CAINAGUA;;;M;;;M ;MUNICIPAL;4;43;76805898;JOAO ALFREDO;385;BAIXA UNIAO;69 93880609;-8.7688724;-63.9067746;3.0;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;46429571000147.0;cordeiro-pvh@hotmail.com;2062.0;0.0;0.0;0.0;0.0;1.0;0.0;;NAO
3851702;2105303851702;21;210530;;CTC CENTRO DE TOMOGRAFIA COMPUTADORIZADA LTDA;CTC;;;M;;;M ;MUNICIPAL;4;39;65903310;PARAIBA;864;CENTRO;;-5.526524021;-47.476810232;3.0;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;2384262000122.0;;2062.0;0.0;0.0;0.0;0.0;1.0;0.0;;NAO
620;2611600000620;26;261160;10565000000192.0;MUNICIPIO DO RECIFE;US 101 POLICLINICA PROF WALDEMAR DE OLIVEIRA;;;M;;;M ;MUNICIPAL;4;4;50100170;RUA MARQUES DO POMBAL;115;SANTO AMARO;33551402/1418/1438;-8.056;-34.89;3.0;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;;priscila_tsouza@hotmail.com;1244.0;0.0;0.0;0.0;0.0;1.0;0.0;;SIM
2702916;3302402702916;33;330240;29115474000160.0;MUNICIPIO DE MACAE;ESF AJUDA B;;;M;;;M ;MUNICIPAL;4;2;27910000;ESTRADA DO INCRA;S/N;AJUDA DE BAIXO;;-22.3224717;-41.753866;3.0;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;;esf.ajudab@macae.rj.gov.br;1244.0;0.0;0.0;0.0;0.0;0.0;0.0;;SIM
566;2611600000566;26;261160;;FUNDACAO MANOEL DA SILVA ALMEIDA;HOSPITAL MARIA LUCINDA;;;D;;;D ;DUPLA;4;5;52060000;AV PARNAMIRIM;095;PARNAMIRIM;(81)32674200/4201;-8.053833171;-34.8812699318;6.0;ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS);9767633000102.0;secretaria@hospitalmarialucinda.org;3069.0;1.0;0.0;0.0;1.0;1.0;1.0;;SIM
2014564;1302602014564;13;130260;4461836000144.0;MANAUS SECRETARIA MUNICIPAL DE SAUDE;USF S 40;;;M;;;M ;MUNICIPAL;3;2;69067110;RUA FRAGATA;1000;PETROPOLIS;(92)988028137;-3.107499607;-59.99560003;3.0;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;;usf.s40@manaus.am.gov.br;1031.0;0.0;0.0;0.0;0.0;1.0;0.0;;SIM
